Idea Id,Cost Reduction Idea,Proposal Image Path,MGI Gross Saving,Way Forward,Estimated Cost Savings,MGI Carline,Saving Value (INR),Weight Saving (Kg),Status,Dept,KD/LC,Idea ID,Proposal,Imp,Saving Value,Responsibility,Date
2311-PRODUCT-ID-02,"Replace the Plastic Caps mounted onto the doors, hood, and tailgate (total 14) with adhesive stickers.",NaN,INR 0.0,nan,"The estimated cost saving will be updated once the costing is done.
1. Per Kg cost of PC- ABS - INR 311.17
2. Weight of the Type 1 cap used in MGI - 1.39g
3. Weight of the Type 2 cap used in MGI - 1.14g
4. Cost of the Type 1 caps - 0.43*4 = INR 1.73
5. Cost of the Type 2 caps - 0.35*10 = INR 3.5
6. Weight of the proposed stickers - 0.2g
7. Per Kg cost of adhesive stickers - INR 250 (assumption)
8. Cost of a single sticker - INR 0.05
9. The estimated cost saving on caps = (3.5 + 1.73) - (0.05*14) = 5.23 - 0.7 = INR 4.53
10. The estimated weight saving on caps = ((1.39*4) + (1.14*10)) - (0.2*14) = 16.96 - 2.8 = 14.16g",nan,INR 130.0,0.02,NG,nan,KD,2311-PRODUCT-ID-02,"Replace the Plastic Caps mounted onto the doors, hood, and tailgate (total 14) with adhesive stickers.",nan,INR 130.0,nan,nan
2311-BIW-ID-03,Reduce the Paint Coating Thicknesses of the highlighted Front Fender and Rear Quarter Panel BiW Panels from 120 - 130μm to 85 - 95μm,NaN,INR 0.0,nan,"The evaluation is done before teardown, the values will change after the costing,
1. Per Sq.M rate of Automotive Grade Paint Coating (80 - 90μm) - INR 63.4 (assumed)
2. Per Sq.M rate of Automotive Grade Paint Coating (110 - 120μm) - INR 103.54 (assumed)
3. The combined surface area of the Front Fenders = 0.366*2 = 0.733m2
4. The current cost to paint the structure = INR 75.94
5. The estimated cost = INR 46.5
6. The estimated cost saved = 75.94 - 46.5 = INR 28.89
7. The combined surface area of the Front Fenders = 0.291*2 = 0.583m2
8. The current cost to paint the structure = INR 60.38
9. The estimated cost = INR 36.96
10. The estimated cost saved = 60.38 - 36.96 = INR 23.42

11. The estimated weight saved = Nil
12. The estimated cost saved = 28.89 + 23.42 = INR 52.31",nan,INR 122.0,0.00,TBD,nan,nan,2311-BIW-ID-03,Reduce the Paint Coating Thicknesses of the highlighted Front Fender and Rear Quarter Panel BiW Panels from 120 - 130μm to 85 - 95μm,nan,INR 122.0,nan,nan
2311-BIW-ID-05,Reduce the Paint Coating Thickness of the highlighted Front Hood BiW Panel from 160 - 170μm to 100 - 110μm,NaN,INR 0.0,nan,"The evaluation is done before teardown, the values will change after the costing,
1. Per Sq.M rate of Automotive Grade Paint Coating (100 - 110μm) - INR 79(assumed)
2. Per Sq.M rate of Automotive Grade Paint Coating (160 - 170μm) - INR 129.78 (assumed)
3. The surface area of the Front Hood = 1.456m2
4. The current cost to paint the structure = INR 188.95
5. The estimated cost = INR 115.02

6. The estimated weight saved = Nil
7. The estimated cost saved = 188.95 - 115.02 = INR 73.92",nan,INR 82.0,0.00,TBD,nan,nan,2311-BIW-ID-05,Reduce the Paint Coating Thickness of the highlighted Front Hood BiW Panel from 160 - 170μm to 100 - 110μm,nan,INR 82.0,nan,nan
2311-IT-ID-05,Replace the TPE Coaster/Insert positioned at the base of the front centre armrest storage compartment with a Fabric one,NaN,INR 3.28,nan,"The evaluation is done before teardown, the values will change after the costing,
1. Per Kg rate of TPE - INR 300 (assumed)
2. Per Kg rate of PP+EPDM - INR 250 (assumed)
3. The current weight of the coaster/insert = 27.28g
4. The estimated weight of the coaster/insert after the material change = 19.66g (assumed using Mass, Density, and Volume relations)
5. The total weight saved = 27.28 - 19.66 = 7.62g
6. The current cost of the coaster/insert - INR 8.18
7. The estimated cost of the coaster/insert after the material change - INR 4.91
8. The total cost saved = 8.18 - 4.9 = INR 3.28",nan,INR 40.0,0.01,NG,nan,LC,2311-IT-ID-05,Replace the TPE Coaster/Insert positioned at the base of the front centre armrest storage compartment with a Fabric one,nan,INR 40.0,nan,nan
2311-IT-ID-22,Replace PP-T20 used in the manufacture of the Third Row LH & RH Cup Holders with PP,NaN,INR 0.0,nan,"The evaluation is done before teardown, the values will change after the costing,
1. Per Kg rate of PP-T20 - INR 200
2. Per Kg rate of PP - INR 180
3. The current weight of the LH trim - 343g
4. The estimated weight of the trim proposed - 328.5g
5. The estimated weight saved = 343 - 328.5 = 14.5g
6. The current weight of the RH trim - 379g
7. The estimated weight of the trim proposed - 363g
8. The estimated weight saved = 379 - 363 = 16g
9. The current cost of the LH trim - INR 68.6
10. The estimated cost of the trim proposed - INR 59.13
11. The estimated cost saved = 68.6 - 59.13 = INR 9.47
12. The current cost of the RH trim - INR 75.8
13. The estimated cost of the trim proposed - INR 65.34
14. The estimated cost saved on both ends = 75.8 - 65.34 = INR 10.46

15. The total weight saved = 14.5 + 16 = 30.5g
16. The total cost saved = 9.47 + 10.46 = INR 19.93",nan,INR 42.0,0.03,TBD,nan,nan,2311-IT-ID-22,Replace PP-T20 used in the manufacture of the Third Row LH & RH Cup Holders with PP,nan,INR 42.0,nan,nan
2311-SS-ID-11,"Process Deletion,
Remove the Black Painting done on the Driver and Co-Driver Seat Base Support Frames",NaN,INR 0.0,nan,"The evaluation is done before teardown, the values will change after the costing,
1. Per Sq.M rate of Black Paint Coating- INR 47.8 (assumed)
2. The combined surface area of the Driver Side Support Structure = 0.21m2
3. The cost to paint the structure = INR 10.03
4. The estimated cost saved in total = INR 10.03
5. The combined surface area of the Co-Driver Side Support Structure = 0.32m2
6. The cost to paint the structure = INR 15.2
7. The estimated cost saved in total = INR 15.2

8. The estimated weight saved = Nil
9. The estimated cost saved = 10 + 15.2 = INR 25.2",nan,INR 90.0,0.00,NG,nan,LC,2311-SS-ID-11,"Process Deletion,
Remove the Black Painting done on the Driver and Co-Driver Seat Base Support Frames",nan,INR 90.0,nan,nan
2311-ET-ID-11,"1. Remove the Foam inserts from both the LH and RH sides of MGI and use plastic trims instead as employed in KIA
2. Thinsulate could be used if required",NaN,INR 266.0,nan,"The evaluation is done before teardown, the values will change after the costing,
1. The Per Kg rate of the Insulating foam - INR 400 (assumed)
2. The Per Kg rate of PP - INR 180 (assumed)
3. The current weight of the LH side foam - 613g
4. The estimated weight of the proposed trim - 76g
5. The estimated weight saved - 537g
6. The current weight of the LH side foam - 612g
7. The estimated weight of the proposed trim - 75g
8. The estimated weight saved - 537g
9.  The current cost of the LH side foam - INR 245.2
10. The estimated cost of the proposed trim - INR 13.68
11. The estimated cost saved - 245.2 - 13.68 = INR 231.52
12. The current cost of the LH side foam - INR 244.8
13. The estimated cost of the proposed trim - INR 13.5
14. The estimated cost saved - 244.8 - 13.5 = INR 231.3

15. The total weight saved on LH & RH sides = 537*2 = 1074g
16. The total cost saved on LH & RH sides = 231.5 + 231.3 = INR 462.8

With Thinsulate,
1. The per sq.M rate of Thinsulate - INR 204
2. Area of the trim - 95904mm2
3. Cost of the Thinsulate sheet required - INR 19.5
4. Total cost for LH & RH sides = 19.5*2 = INR 39
5. The estimated cost saved if Thinsulate is used = 462.8 - 39 = INR 423.8",nan,INR 131.0,1.07,NG,nan,LC,2311-ET-ID-11,"1. Remove the Foam inserts from both the LH and RH sides of MGI and use plastic trims instead as employed in KIA
2. Thinsulate could be used if required",nan,INR 131.0,nan,nan
2311-PRODUCT-ID-24,Eliminate the hooks from the receptacle trims found on the RH side of the headrest assemblies reducing the overall length from 53.3mm to 40mm,NaN,INR 2.73,nan,"The evaluation is done before teardown, the values will change after costing.
1. Per Kg rate of PP - INR 130.35
2. The assumed weight of the trim piece to be removed - 3g
3. Total weight of the trim pieces - 3*7 (headrest assemblies) - 21g

4. The estimated weight saved - 21g
5. The estimated cost saved - INR 2.73",nan,INR 64.0,0.02,NG,nan,LC,2311-PRODUCT-ID-24,Eliminate the hooks from the receptacle trims found on the RH side of the headrest assemblies reducing the overall length from 53.3mm to 40mm,nan,INR 64.0,nan,nan
2311-PRODUCT-ID-07,De-content the plastic trims found protecting the top tethers from both sides of the seat as the tethers could be placed within the seat fabric itself and a slit on the same could facilitate easy access,NaN,INR 0.0,Confirm on no part nuber change to avoid homologation cost,"The evaluation is done before teardown, the values will change after costing.
1. Per Kg cost of PC ABS - INR 311.17 (Material and cost assumed)
2. Assumed weight of the trim - 42g 
3. The estimated cost of the trim = INR 13.06
4. Total weight of both the trims on LHS and RHS - 42*2 = 84g
5. Total cost of both the trims - 13.06*2 = INR 26.13

6. The estimated weight savings on both sides = 84g
7. The estimated cost savings on both sides = INR 26.13",nan,INR 115.0,0.08,OK,PE,LC,2311-PRODUCT-ID-07,De-content the plastic trims found protecting the top tethers from both sides of the seat as the tethers could be placed within the seat fabric itself and a slit on the same could facilitate easy access,Confirm on no part nuber change to avoid homologation cost,INR 115.0,Nishant,2024-06-17 00:00:00
2311-SS-ID-06,"Revise the existing seatbelt buckle housing brackets in MGI to match those in KIA, reducing the maximum width of the bracket from 33.5mm to 24mm, in line with KIA's design",NaN,INR 0.0,nan,"The evaluation is done before teardown, the values will change after the costing,
1. The Per Kg weight of steel - INR 160 (assumed)
2. The current weight of the bracket used in MGI - 151g (assumed)
3. The estimated weight of the proposed bracket (from KIA) - 96g (assumed)
4. The estimated weight saved = 151 - 96 = 55*2 (LH&RH) = 110g
5. The current cost of the bracket used in MGI - INR 24
6. The estimated cost of the proposed bracket (from KIA) - INR 15.36
7. The estimated cost saved = 24 - 15.36 = 8.64*2 (LH&RH) = INR 17.28",nan,INR 93.0,0.11,NG,nan,LC,2311-SS-ID-06,"Revise the existing seatbelt buckle housing brackets in MGI to match those in KIA, reducing the maximum width of the bracket from 33.5mm to 24mm, in line with KIA's design",nan,INR 93.0,nan,nan
