Idea Id,Cost Reduction Idea,Proposal Image Path,MGI Gross Saving,Way Forward,Estimated Cost Savings,MGI Carline,Saving Value (INR),Weight Saving (Kg),Status,Dept,KD/LC,Idea ID,Proposal,Imp,Saving Value,Responsibility,Date
2311-SS-ID-04,Substitute the leather upholstery on the left-hand (LH) and right-hand (RH) sides of the third-row seat bases with the same fabric utilized on the LH and RH sides of the corresponding backrests,None,INR 0.0,Check for combined business case,None,None,INR 48.0,0.05,NG,Finance,LC,2311-SS-ID-04,Substitute the leather upholstery on the left-hand (LH) and right-hand (RH) sides of the third-row seat bases with the same fabric utilized on the LH and RH sides of the corresponding backrests,Check for combined business case,INR 48.0,Kalp,2023-11-10 00:00:00
2311-PRODUCT-ID-07,De-content the plastic trims found protecting the top tethers from both sides of the seat as the tethers could be placed within the seat fabric itself and a slit on the same could facilitate easy access,None,INR 0.0,Confirm on no part nuber change to avoid homologation cost,None,None,INR 115.0,0.08,OK,PE,LC,2311-PRODUCT-ID-07,De-content the plastic trims found protecting the top tethers from both sides of the seat as the tethers could be placed within the seat fabric itself and a slit on the same could facilitate easy access,Confirm on no part nuber change to avoid homologation cost,INR 115.0,Nishant,2024-06-17 00:00:00
2311-PRODUCT-ID-13,Eliminate the plastic trim provided around the bottom anchor point at the driver side seatbelt and follow the same methodology provided at the co-driver's side.,None,INR 0.0,None,None,None,INR 141.0,0.03,NG,None,LC,2311-PRODUCT-ID-13,Eliminate the plastic trim provided around the bottom anchor point at the driver side seatbelt and follow the same methodology provided at the co-driver's side.,None,INR 141.0,None,None
2311-PRODUCT-ID-09,De-content the Plastic Protective Trims fitted onto the LHS and RHS mounting points of the third-row seats and cover the same with the fabric used on the vehicle floor.,None,INR 0.0,Confirm on PTR plan,None,None,INR 76.0,0.07,OK,PE,LC,2311-PRODUCT-ID-09,De-content the Plastic Protective Trims fitted onto the LHS and RHS mounting points of the third-row seats and cover the same with the fabric used on the vehicle floor.,Confirm on PTR plan,INR 76.0,Harsh,2024-06-14 00:00:00
2311-IT-ID-05,Replace the TPE Coaster/Insert positioned at the base of the front centre armrest storage compartment with a Fabric one,None,INR 3.28,None,None,None,INR 40.0,0.01,NG,None,LC,2311-IT-ID-05,Replace the TPE Coaster/Insert positioned at the base of the front centre armrest storage compartment with a Fabric one,None,INR 40.0,None,None
2311-SS-ID-02,"1. Reduce the width of the seat adjustment lever-2 from 345mm to 175mm commonising both.
2. Reduce the overall diameter of the bars from 13mm to 12mm.",None,INR 0.0,Check for combined business case,None,None,INR 74.0,0.08,NG,Finance,LC,2311-SS-ID-02,"1. Reduce the width of the seat adjustment lever-2 from 345mm to 175mm commonising both.
2. Reduce the overall diameter of the bars from 13mm to 12mm.",Check for combined business case,INR 74.0,Kalp,2023-11-07 00:00:00
2311-SS-ID-05,"1. Replace the leather upholstery on the flaps located at the bottom of MGI's front-row seats with fabric
2. Use the same fabric (polyester) used to upholster the unexposed seat sides within MGI",None,INR 0.0,one-pager for PP approval,None,None,INR 113.0,0.03,NG,VAVE,LC,2311-SS-ID-05,"1. Replace the leather upholstery on the flaps located at the bottom of MGI's front-row seats with fabric
2. Use the same fabric (polyester) used to upholster the unexposed seat sides within MGI",one-pager for PP approval,INR 113.0,Ratnadeep,2023-11-20 00:00:00
2311-PRODUCT-ID-10,Reduce the length of the Seat Release Straps found on the second and third-row seats,None,INR 0.0,None,None,None,INR 86.0,0.09,NG,None,LC,2311-PRODUCT-ID-10,Reduce the length of the Seat Release Straps found on the second and third-row seats,None,INR 86.0,None,None
2311-SS-ID-11,"Process Deletion,
Remove the Black Painting done on the Driver and Co-Driver Seat Base Support Frames",None,INR 0.0,None,None,None,INR 90.0,0.00,NG,None,LC,2311-SS-ID-11,"Process Deletion,
Remove the Black Painting done on the Driver and Co-Driver Seat Base Support Frames",None,INR 90.0,None,None
2311-SS-ID-10,Replace PP+EPDM-T20 used in the manufacture of the Second-Row Seat Bottom Cover and Cushion Cover Trims of MGI with standard PP,None,INR 0.0,All trims foam & cover idea will be again checked for feasibility with supplier & BC evaluation.,None,None,INR 147.0,0.52,NG,PE/ Finance,LC,2311-SS-ID-10,Replace PP+EPDM-T20 used in the manufacture of the Second-Row Seat Bottom Cover and Cushion Cover Trims of MGI with standard PP,All trims foam & cover idea will be again checked for feasibility with supplier & BC evaluation.,INR 147.0,Kalp/Nishant,2023-12-31 00:00:00
