Idea Id,Cost Reduction Idea,Saving Value (INR),Weight Saving (Kg),Status,Dept,Way Forward,Idea ID,Proposal,Imp,Saving Value,Responsibility,Date
2311-PRODUCT-ID-01,Replace the dual LED lamps used for rear license plate illumination with a pair of single LED lamps.,INR 68.00,0.03,NG,PE,N/A,2311-PRODUCT-ID-01,Replace the dual LED lamps used for rear license plate illumination with a pair of single LED lamps.,N/A,INR 68.00,N/A,N/A
2311-PRODUCT-ID-21,"De-content the Spacer Plates mounted onto the door frame and if required, increase the length of the latch receiver on the Striker Plate to ensure the doors close smoothly and securely",INR 65.00,0.09,NG,PE,N/A,2311-PRODUCT-ID-21,"De-content the Spacer Plates mounted onto the door frame and if required, increase the length of the latch receiver on the Striker Plate to ensure the doors close smoothly and securely",N/A,INR 65.00,N/A,N/A
2311-PRODUCT-ID-22,De-content the plastic support trims found within the storage pocket flaps behind the LH and RH front seats,INR 108.00,0.09,NG,PE,N/A,2311-PRODUCT-ID-22,De-content the plastic support trims found within the storage pocket flaps behind the LH and RH front seats,N/A,INR 108.00,N/A,N/A
2311-BA-ID-02,"Remove the black paint coating from the Brake Caliper Mounting Brackets on all four brake assemblies of MGI, following the procedure used for the front brake caliper mounting brackets in KIA.",INR 102.00,0.00,NG,PE,N/A,2311-BA-ID-02,"Remove the black paint coating from the Brake Caliper Mounting Brackets on all four brake assemblies of MGI, following the procedure used for the front brake caliper mounting brackets in KIA.",N/A,INR 102.00,N/A,N/A
2311-DA-ID-07,Replace PA6-GF30 with PA6-GF20 in the manufacture of the Tailgate Release/Handle Trim,INR 143.00,0.01,NG,PE,N/A,2311-DA-ID-07,Replace PA6-GF30 with PA6-GF20 in the manufacture of the Tailgate Release/Handle Trim,N/A,INR 143.00,N/A,N/A
2311-DA-ID-15,Replace PC-ABS with ABS in the manufacture of Speaker Trims present on the door assemblies.,INR 51.00,0.03,NG,PE,N/A,2311-DA-ID-15,Replace PC-ABS with ABS in the manufacture of Speaker Trims present on the door assemblies.,N/A,INR 51.00,N/A,N/A
2311-DA-ID-20,De-content Cable Protective Sheaths one each from all the Lock Release and Front Window Regulator assemblies of the vehicle,INR 129.00,0.00,NG,PE,N/A,2311-DA-ID-20,De-content Cable Protective Sheaths one each from all the Lock Release and Front Window Regulator assemblies of the vehicle,N/A,INR 129.00,N/A,N/A
2311-EL-ID-01,Replace the 16-pin connector set used on the IRVM assembly with an 8-pin connector set.,INR 142.00,0.01,NG,PE,N/A,2311-EL-ID-01,Replace the 16-pin connector set used on the IRVM assembly with an 8-pin connector set.,N/A,INR 142.00,N/A,N/A
2311-IP-ID-03,Replace PC-ABS with ABS in the manufacture of Centre Console LH and RH Garnish Trims and the Infotainment Screen Garnish Trim present within the interior of the vehicle,INR 72.00,0.00,NG,PE,N/A,2311-IP-ID-03,Replace PC-ABS with ABS in the manufacture of Centre Console LH and RH Garnish Trims and the Infotainment Screen Garnish Trim present within the interior of the vehicle,N/A,INR 72.00,N/A,N/A
2311-IT-ID-01,Remove the fabric cover pasted onto the foot pad provided at the footwell area of the co-driver seat.,INR 52.00,0.02,NG,PE,N/A,2311-IT-ID-01,Remove the fabric cover pasted onto the foot pad provided at the footwell area of the co-driver seat.,N/A,INR 52.00,N/A,N/A
2311-IT-ID-10,Replace PP-T20 with PP in the manufacture of the Dead Pedal Trim present mounted onto the driver's footwell,INR 68.00,0.02,NG,PE,N/A,2311-IT-ID-10,Replace PP-T20 with PP in the manufacture of the Dead Pedal Trim present mounted onto the driver's footwell,N/A,INR 68.00,N/A,N/A
2311-WS-ID-02,Reduce the wall thickness of the Wiper Linkage Bar Rod from 1.4mm to 1mm (from the inside),INR 62.00,0.04,NG,PE,N/A,2311-WS-ID-02,Reduce the wall thickness of the Wiper Linkage Bar Rod from 1.4mm to 1mm (from the inside),N/A,INR 62.00,N/A,N/A
AI-GEN-01,Extend value engineering approach #1 for PE,INR 79.65,0.00,Concept,PE,N/A,AI-GEN-01,Extend value engineering approach #1 for PE,N/A,INR 79.65,N/A,N/A
AI-GEN-02,Extend value engineering approach #2 for PE,INR 84.08,0.00,Concept,PE,N/A,AI-GEN-02,Extend value engineering approach #2 for PE,N/A,INR 84.08,N/A,N/A
AI-GEN-03,Extend value engineering approach #3 for PE,INR 88.50,0.00,Concept,PE,N/A,AI-GEN-03,Extend value engineering approach #3 for PE,N/A,INR 88.50,N/A,N/A
