Idea Id,Cost Reduction Idea,Proposal Image Path,MGI Gross Saving,Way Forward,Estimated Cost Savings,MGI Carline,Saving Value (INR),Weight Saving (Kg),Status,Dept,KD/LC,Idea ID,Proposal,Imp,Saving Value,Responsibility,Date
2311-PRODUCT-ID-01,Replace the dual LED lamps used for rear license plate illumination with a pair of single LED lamps.,,,N/A,,,INR 68.00,0.03,NG,PE,,2311-PRODUCT-ID-01,Replace the dual LED lamps used for rear license plate illumination with a pair of single LED lamps.,N/A,INR 68.00,N/A,N/A
2311-PRODUCT-ID-02,"Replace the Plastic Caps mounted onto the doors, hood, and tailgate (total 14) with adhesive stickers.",,,N/A,,,INR 130.00,0.02,NG,nan,,2311-PRODUCT-ID-02,"Replace the Plastic Caps mounted onto the doors, hood, and tailgate (total 14) with adhesive stickers.",N/A,INR 130.00,N/A,N/A
2311-PRODUCT-ID-03,Replace the rubber bushes used on the wiper blade mounting bolts with the plastic protective cap.,,,N/A,,,INR 126.00,0.02,NG,nan,,2311-PRODUCT-ID-03,Replace the rubber bushes used on the wiper blade mounting bolts with the plastic protective cap.,N/A,INR 126.00,N/A,N/A
2311-PRODUCT-ID-04,Replace the Steel-Fuel Filler Door Assembly in MGI with a plastic assembly as in KIA.,,,N/A,,,INR 124.00,0.07,NG,nan,,2311-PRODUCT-ID-04,Replace the Steel-Fuel Filler Door Assembly in MGI with a plastic assembly as in KIA.,N/A,INR 124.00,N/A,N/A
2311-PRODUCT-ID-05,Reduce the projection of the 'HECTOR' badging on the tailgate at the rear end of the car from 4mm to 2.5mm,,,N/A,,,INR 135.00,0.02,NG,Finance,,2311-PRODUCT-ID-05,Reduce the projection of the 'HECTOR' badging on the tailgate at the rear end of the car from 4mm to 2.5mm,N/A,INR 135.00,N/A,N/A
2311-PRODUCT-ID-06,"Change the design of the lug nut used in MGI with the design of the lug nut used in KIA.
Wheel lug nut in MGI-
Overall length - 31.3mm
Thread length - 27.95mm
Wheel lug nut in KIA-
Overall length - 27.5mm
Thread length - 15mm",,,N/A,,,INR 50.00,0.42,NG,nan,,2311-PRODUCT-ID-06,"Change the design of the lug nut used in MGI with the design of the lug nut used in KIA.
Wheel lug nut in MGI-
Overall length - 31.3mm
Thread length - 27.95mm
Wheel lug nut in KIA-
Overall length - 27.5mm
Thread length - 15mm",N/A,INR 50.00,N/A,N/A
2311-PRODUCT-ID-07,De-content the plastic trims found protecting the top tethers from both sides of the seat as the tethers could be placed within the seat fabric itself and a slit on the same could facilitate easy access,,,N/A,,,INR 115.00,0.08,OK,PE,,2311-PRODUCT-ID-07,De-content the plastic trims found protecting the top tethers from both sides of the seat as the tethers could be placed within the seat fabric itself and a slit on the same could facilitate easy access,N/A,INR 115.00,N/A,N/A
2311-PRODUCT-ID-08,Use adhesives to glue the NVH Foam onto the engine cover instead of using steel holders on provisions,,,N/A,,,INR 99.00,0.02,NG,nan,,2311-PRODUCT-ID-08,Use adhesives to glue the NVH Foam onto the engine cover instead of using steel holders on provisions,N/A,INR 99.00,N/A,N/A
2311-PRODUCT-ID-09,De-content the Plastic Protective Trims fitted onto the LHS and RHS mounting points of the third-row seats and cover the same with the fabric used on the vehicle floor.,,,N/A,,,INR 76.00,0.07,OK,PE,,2311-PRODUCT-ID-09,De-content the Plastic Protective Trims fitted onto the LHS and RHS mounting points of the third-row seats and cover the same with the fabric used on the vehicle floor.,N/A,INR 76.00,N/A,N/A
2311-PRODUCT-ID-10,Reduce the length of the Seat Release Straps found on the second and third-row seats,,,N/A,,,INR 86.00,0.09,NG,nan,,2311-PRODUCT-ID-10,Reduce the length of the Seat Release Straps found on the second and third-row seats,N/A,INR 86.00,N/A,N/A
2311-PRODUCT-ID-11,Reduce the width of the trunk liner flap by 60mm from the upper edge.,,,N/A,,,INR 89.00,0.09,TBD,Finance,,2311-PRODUCT-ID-11,Reduce the width of the trunk liner flap by 60mm from the upper edge.,N/A,INR 89.00,N/A,N/A
2311-PRODUCT-ID-12,Decrease the width of the carpet by 100mm from the lower edge on the rear side of the trunk liner flap.,,,N/A,,,INR 90.00,0.08,TBD,PSCM,,2311-PRODUCT-ID-12,Decrease the width of the carpet by 100mm from the lower edge on the rear side of the trunk liner flap.,N/A,INR 90.00,N/A,N/A
2311-PRODUCT-ID-13,Eliminate the plastic trim provided around the bottom anchor point at the driver side seatbelt and follow the same methodology provided at the co-driver's side.,,,N/A,,,INR 141.00,0.03,NG,nan,,2311-PRODUCT-ID-13,Eliminate the plastic trim provided around the bottom anchor point at the driver side seatbelt and follow the same methodology provided at the co-driver's side.,N/A,INR 141.00,N/A,N/A
2311-PRODUCT-ID-14,Reduce the thickness of the rear wiper pivot bolt cover trim from 2mm to 1.3mm.,,,N/A,,,INR 46.00,0.06,TBD,PE,,2311-PRODUCT-ID-14,Reduce the thickness of the rear wiper pivot bolt cover trim from 2mm to 1.3mm.,N/A,INR 46.00,N/A,N/A
2311-PRODUCT-ID-15,De-content the rubber seal provided on the roller arm of each door,,,N/A,,,INR 122.00,0.01,NG,nan,,2311-PRODUCT-ID-15,De-content the rubber seal provided on the roller arm of each door,N/A,INR 122.00,N/A,N/A
2311-PRODUCT-ID-16,Replace fiberboard with velcro tape and carpet in the assembly,,,N/A,,,INR 64.00,0.14,TBD,PE,,2311-PRODUCT-ID-16,Replace fiberboard with velcro tape and carpet in the assembly,N/A,INR 64.00,N/A,N/A
2311-PRODUCT-ID-17,"1. Relocate the Battery Negative Terminal Earthing Wire mount from the side to the top of the front suspension subframe of the vehicle
2. Reduce the length of the connector terminal and instead of using two bolts, use a single bolt
3. Reduce the overall size and wall thickness of the Battery Negative Terminal Cast Clamp",,,N/A,,,INR 103.00,0.03,Hold,PE,,2311-PRODUCT-ID-17,"1. Relocate the Battery Negative Terminal Earthing Wire mount from the side to the top of the front suspension subframe of the vehicle
2. Reduce the length of the connector terminal and instead of using two bolts, use a single bolt
3. Reduce the overall size and wall thickness of the Battery Negative Terminal Cast Clamp",N/A,INR 103.00,N/A,N/A
2311-PRODUCT-ID-18,Reduce the diameter of the Headrest Rods from 12.6mm to 10mm,,,N/A,,,INR 141.00,0.15,NG,Finance,,2311-PRODUCT-ID-18,Reduce the diameter of the Headrest Rods from 12.6mm to 10mm,N/A,INR 141.00,N/A,N/A
2311-PRODUCT-ID-19,Utilize the single-piece rubber hose instead of the 2-piece rubber hose with a plastic T-connector.,,,N/A,,,INR 104.00,0.04,NG,nan,,2311-PRODUCT-ID-19,Utilize the single-piece rubber hose instead of the 2-piece rubber hose with a plastic T-connector.,N/A,INR 104.00,N/A,N/A
2311-PRODUCT-ID-20,Reduce the height of the Headrest Rod Receptacle from 11.4mm to 8.5mm,,,N/A,,,INR 66.00,0.03,NG,Finance,,2311-PRODUCT-ID-20,Reduce the height of the Headrest Rod Receptacle from 11.4mm to 8.5mm,N/A,INR 66.00,N/A,N/A
